Name,Timing,Result
smack_ptr_eq_test,4.14167,passed
smack_array_eq_c_str_test,6.04405,passed
smack_array_eq_c_str_ignore_case_test,6.12961,passed
smack_add_size_saturating_test,7.83828,passed
smack_is_power_of_two_test,10.804,passed
smack_add_size_checked_test,20.2961,passed
smack_round_up_to_power_of_two_test,28.5318,passed
smack_mul_size_saturating_test,57.0326,passed
smack_array_eq_test,200.158,failed
smack_array_eq_ignore_case_test,200.158,failed
smack_mul_size_checked_test,200.156,failed
smack_array_list_back_test,200.029,failed
smack_array_list_capacity_test,200.023,failed
smack_array_list_clean_up_test,200.019,failed
smack_array_list_clear_test,200.033,failed
smack_array_list_comparator_string_test,200.05,failed
smack_array_list_copy_test,200.166,failed
smack_array_list_ensure_capacity_test,200.169,failed
smack_array_list_erase_test,200.171,failed
smack_array_list_front_test,200.024,failed
smack_array_list_get_at_test,200.035,failed
smack_array_list_get_at_ptr_test,200.022,failed
smack_array_list_init_dynamic_test,200.031,failed
smack_array_list_init_static_test,200.045,failed
smack_array_list_length_test,200.168,failed
smack_array_list_pop_back_test,200.166,failed
smack_array_list_pop_front_test,200.165,failed
smack_array_list_pop_front_n_test,200.019,failed
smack_array_list_push_back_test,200.03,failed
smack_array_list_set_at_test,200.03,failed
smack_array_list_shrink_to_fit_test,200.04,failed
smack_array_list_sort_test,200.049,failed
smack_byte_buf_clean_up_test,13.7666,passed
smack_byte_buf_clean_up_secure_test,14.4668,passed
smack_array_list_swap_test,200.175,failed
smack_array_list_swap_contents_test,200.177,failed
smack_byte_buf_advance_test,200.179,failed
smack_byte_buf_eq_c_str_test,6.44562,passed
smack_byte_buf_eq_c_str_ignore_case_test,6.81617,passed
smack_byte_buf_append_test,200.039,failed
smack_byte_buf_append_dynamic_test,200.038,failed
smack_byte_buf_append_with_lookup_test,200.028,failed
smack_byte_buf_from_c_str_test,20.5724,passed
smack_byte_buf_cat_test,200.045,failed
smack_byte_buf_reserve_test,9.25313,passed
smack_byte_buf_eq_test,200.068,failed
smack_byte_buf_eq_ignore_case_test,200.118,failed
smack_byte_buf_from_array_test,200.018,failed
smack_byte_buf_from_empty_array_test,200.022,failed
smack_byte_buf_init_test,200.031,failed
smack_byte_buf_secure_zero_test,19.4857,passed
smack_byte_buf_init_copy_test,200.018,failed
smack_byte_buf_init_copy_from_cursor_test,200.039,failed
