Name,Timing,Result
smack_add_size_saturating_test,4.77058,passed
smack_mul_size_saturating_test,4.9729,passed
smack_add_size_checked_test,7.61214,passed
smack_mul_size_checked_test,7.79205,passed
smack_array_list_clear_test,8.61977,passed
smack_array_list_clean_up_test,8.77639,passed
smack_array_list_capacity_test,9.27607,passed
smack_array_list_back_test,10.2582,passed
smack_array_list_copy_test,10.5441,passed
smack_array_list_ensure_capacity_test,11.0016,passed
smack_array_list_front_test,10.7592,passed
smack_array_list_get_at_test,10.62,passed
smack_array_list_erase_test,11.6681,passed
smack_array_list_get_at_ptr_test,10.6706,passed
smack_array_list_init_dynamic_test,10.1106,passed
smack_array_list_comparator_string_test,16.4046,passed
smack_array_list_init_static_test,10.7974,passed
smack_array_list_length_test,9.58585,passed
smack_array_list_pop_front_n_test,11.0278,passed
smack_array_list_push_back_test,11.7789,passed
smack_array_list_shrink_to_fit_test,10.8544,passed
smack_array_list_pop_front_test,13.9647,passed
smack_array_list_pop_back_test,14.516,passed
smack_array_list_sort_test,10.1209,passed
smack_array_list_set_at_test,16.6359,passed
smack_array_list_swap_test,11.2875,passed
smack_array_list_swap_contents_test,12.4087,passed
smack_byte_buf_clean_up_test,8.64292,passed
smack_byte_buf_clean_up_secure_test,8.5038,passed
smack_byte_buf_eq_c_str_test,6.95073,passed
smack_byte_buf_eq_c_str_ignore_case_test,7.12461,passed
smack_byte_buf_append_test,23.1283,passed
smack_byte_buf_append_with_lookup_test,24.1388,passed
smack_byte_buf_from_array_test,10.1686,passed
smack_byte_buf_append_dynamic_test,32.1385,passed
smack_byte_buf_from_c_str_test,12.1644,passed
smack_byte_buf_from_empty_array_test,9.99646,passed
smack_byte_buf_init_test,11.0907,passed
smack_byte_buf_reserve_test,8.824,passed
smack_byte_buf_init_copy_from_cursor_test,20.1282,passed
smack_byte_buf_reset_test,13.4265,passed
smack_byte_buf_reserve_relative_test,17.3642,passed
smack_byte_buf_init_copy_test,31.211,passed
smack_byte_buf_advance_test,65.286,passed
smack_byte_buf_secure_zero_test,11.3666,passed
smack_byte_buf_write_be16_test,16.5753,passed
smack_byte_buf_write_be32_test,15.1034,passed
smack_byte_buf_write_test,23.7956,passed
smack_byte_buf_write_be64_test,19.7176,passed
smack_byte_buf_write_u8_test,18.4722,passed
smack_byte_cursor_advance_test,18.5888,passed
smack_byte_buf_eq_test,97.4931,passed
smack_byte_cursor_compare_lexical_test,28.6281,passed
smack_byte_cursor_compare_lookup_test,23.0899,passed
smack_byte_cursor_eq_c_str_test,6.10499,passed
smack_byte_cursor_eq_test,31.603,passed
smack_byte_cursor_eq_c_str_ignore_case_test,6.88966,passed
smack_byte_cursor_from_array_test,9.73717,passed
smack_byte_cursor_eq_byte_buf_test,52.6233,passed
smack_byte_cursor_from_buf_test,28.2546,passed
smack_byte_cursor_from_c_str_test,11.5587,passed
smack_byte_buf_write_from_whole_cursor_test,101.569,passed
smack_byte_cursor_right_trim_pred_test,10.0602,passed
smack_byte_cursor_left_trim_pred_test,10.5866,passed
smack_byte_cursor_satisfies_pred_test,9.17719,passed
smack_byte_buf_write_from_whole_buffer_test,125.81,passed
smack_byte_cursor_trim_pred_test,15.5545,passed
smack_byte_buf_cat_test,200.017,failed
smack_byte_buf_eq_ignore_case_test,200.025,failed
smack_byte_cursor_eq_byte_buf_ignore_case_test,200.095,failed
smack_byte_cursor_eq_ignore_case_test,200.025,failed
